Timestamp,Score,1. Are you a (select all that apply):,"2. If you are a grower, do you use a consultant? (If you are not a grower, please ignore this questions). ","3. How many soybean acres do you typically plant? (If you are not a grower, please ignore this question).","4. If you are a consultant, how many total acres of crops are you responsible for? (If you are not a consultant, please ignore this question)","5. Do you rent machinery to spray insecticides in your soybean fields? (If you are not a farmer, please ignore this question)",6. Do you measure defoliation in your field or in the fields that you are responsible for?,"7 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","8 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","9 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","10 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","11 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","12 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","13 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","14 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","15 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","16 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?","17 - If your entire field was uniformly like the trifoliate below, circle what you believe is the defoliation level. ","18 - If your field was in reproductive growth stages (blooms or pods present), and you found the trifoliates through the canopy like this, would you spray it?",Which event was this form distributed at?
8/13/2024 8:48:17,,Extension personell,,,,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:51:29,,Grower,Yes,50 - 250,,,,0 - 17%,Yes,0 - 17%,No,0 - 17%,No,18 - 33%,No,67 - 100%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 8:54:10,,"Grower, Extension personell",No,50 - 250,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 8:55:33,,Extension personell,,,,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:57:04,,Grower,Yes,250 - 1000,,No,Yes,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,18 - 33%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 8:58:31,,Extension personell,,,,,No,34 - 66%,Yes,67 - 100%,Yes,18 - 33%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:00:07,,Farm manager/consultant,,50 - 250,50 - 250,No,No,,Yes,18 - 33%,,18 - 33%,,0 - 17%,Yes,34 - 66%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:01:27,,Extension personell,,,,,No,18 - 33%,No,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:03:20,,Agribusiness person (non-consultant),,,,No,Yes,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:05:01,,Agribusiness person (non-consultant),,,,,,0 - 17%,Yes,18 - 33%,Yes,18 - 33%,Yes,67 - 100%,Yes,0 - 17%,Yes,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:06:19,,Other,,,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:07:32,,Other,,,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,No,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:09:06,,Grower,No,50 - 250,,No,Yes,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 9:10:31,,Grower,No,50 - 250,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:12:36,,Independent crop consultant,,,More than 5000,No,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:13:57,,Grower,No,,,Yes,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,No,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:15:05,,Other,,,,No,Yes,18 - 33%,Yes,0 - 17%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,Blacklands field day - Aug 7th
8/13/2024 9:18:52,,Grower,Yes,1000 - 5000,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:20:19,,"Grower, Agribusiness person (non-consultant)",Yes,1000 - 5000,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:21:35,,Grower,No,50 - 250,,No,No,34 - 66%,No,67 - 100%,Yes,0 - 17%,No,67 - 100%,No,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:22:56,,Grower,Yes,0 - 50,,No,No,18 - 33%,,34 - 66%,Yes,18 - 33%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:24:39,,Retail crop consultant,Yes,50 - 250,1000 - 5000,Yes,No,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,34 - 66%,No,67 - 100%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:26:26,,Agribusiness person (non-consultant),Yes,250 - 1000,,,,,,18 - 33%,Yes,34 - 66%,Yes,18 - 33%,No,18 - 33%,Yes,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:27:41,,Agribusiness person (non-consultant),,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:29:20,,Grower,No,0 - 50,0 - 50,Yes,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,Yes,0 - 17%,Yes,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:30:34,,Farm manager/consultant,,250 - 1000,,No,Yes,18 - 33%,Yes,,,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,Blacklands field day - Aug 7th
8/13/2024 9:32:38,,Other,,250 - 1000,,No,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:34:04,,Other,,,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 9:35:23,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:36:45,,Farm manager/consultant,,0 - 50,,No,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:37:57,,Independent crop consultant,,,More than 5000,,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:39:18,,Independent crop consultant,,,More than 5000,,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,Yes,67 - 100%,Yes,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:40:30,,Extension personell,,,,,,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:41:45,,Extension personell,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 9:43:11,,Other,,,,,No,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:44:20,,Extension personell,,,,,,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 9:45:40,,Extension personell,,,,,,18 - 33%,Yes,34 - 66%,No,0 - 17%,Yes,67 - 100%,No,0 - 17%,Yes,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:47:26,,Grower,Yes,More than 5000,,No,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:48:27,,Grower,Yes,1000 - 5000,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,,,Blacklands field day - Aug 7th
8/13/2024 9:49:31,,Other,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 9:50:40,,"Grower, Other",No,250 - 1000,,,Yes,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:51:59,,Agribusiness person (non-consultant),,,,,,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 9:53:18,,Agribusiness person (non-consultant),,,,,,18 - 33%,No,34 - 66%,No,0 - 17%,Yes,67 - 100%,No,18 - 33%,No,67 - 100%,No,Blacklands field day - Aug 7th
8/13/2024 9:54:37,,Grower,Yes,1000 - 5000,,No,Yes,34 - 66%,Yes,18 - 33%,No,67 - 100%,No,0 - 17%,Yes,67 - 100%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:55:48,,Other,,,,,,34 - 66%,Yes,18 - 33%,Yes,67 - 100%,No,0 - 17%,Yes,34 - 66%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:57:00,,Agribusiness person (non-consultant),,,,,,34 - 66%,Yes,67 - 100%,Yes,18 - 33%,Yes,67 - 100%,No,0 - 17%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 9:58:06,,Agribusiness person (non-consultant),,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 22:17:44,,Grower,No,250 - 1000,,Yes,Yes,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 22:19:29,,Grower,No,250 - 1000,,Yes,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:21:21,,Grower,Yes,1000 - 5000,,,,18 - 33%,No,18 - 33%,Yes,34 - 66%,No,34 - 66%,Yes,34 - 66%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 22:23:13,,"Grower, Agribusiness person (non-consultant)",Yes,1000 - 5000,,No,No,34 - 66%,Yes,67 - 100%,Yes,18 - 33%,No,67 - 100%,Yes,0 - 17%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:24:41,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:26:14,,"Grower, Agribusiness person (non-consultant)",Yes,0 - 50,,No,No,34 - 66%,Yes,67 - 100%,Yes,18 - 33%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:27:45,,Grower,Yes,250 - 1000,,No,Yes,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:29:02,,Grower,No,50 - 250,,Yes,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:30:46,,Grower,No,250 - 1000,,No,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:32:18,,Grower,No,250 - 1000,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:33:53,,"Grower, Agribusiness person (non-consultant)",Yes,50 - 250,,No,No,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:35:23,,Grower,Yes,50 - 250,,No,No,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:36:55,,Grower,No,250 - 1000,,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 22:38:13,,Grower,No,250 - 1000,,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 22:39:29,,Other,,,,,,18 - 33%,No,67 - 100%,Yes,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:40:43,,Extension personell,,,,,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:42:23,,Independent crop consultant,,,1000 - 5000,,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 22:44:20,,Grower,Yes,250 - 1000,,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:45:32,,Grower,Yes,250 - 1000,,No,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,0 - 17%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:47:06,,Other,,,,,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,18 - 33%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:48:20,,Grower,Yes,250 - 1000,,Yes,No,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,No,18 - 33%,Yes,34 - 66%,Yes,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:49:20,,Other,,,,,,34 - 66%,No,67 - 100%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:50:40,,Agribusiness person (non-consultant),,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 22:51:44,,Agribusiness person (non-consultant),,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:53:33,,"Grower, Retail crop consultant",No,0 - 50,More than 5000,No,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:54:44,,Extension personell,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:56:35,,Agribusiness person (non-consultant),Yes,1000 - 5000,1000 - 5000,No,Yes,18 - 33%,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Blacklands field day - Aug 7th
8/13/2024 22:58:34,,Other,,,,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 22:59:55,,"Farm manager/consultant, Other",,50 - 250,,No,No,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,18 - 33%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:01:41,,Agribusiness person (non-consultant),,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:02:49,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:04:53,,Grower,,0 - 50,50 - 250,No,No,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:06:11,,"Grower, Farm manager/consultant, Other",No,0 - 50,50 - 250,No,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:07:25,,Independent crop consultant,,,More than 5000,No,Yes,67 - 100%,No,18 - 33%,Yes,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:08:33,,Farm manager/consultant,,,More than 5000,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,No,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:09:45,,Other,,,,,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:10:58,,"Grower, Agribusiness person (non-consultant)",Yes,1000 - 5000,,No,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:12:06,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,Yes,34 - 66%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:13:23,,Agribusiness person (non-consultant),,,More than 5000,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:14:30,,Agribusiness person (non-consultant),,,,,No,18 - 33%,No,34 - 66%,Yes,18 - 33%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 23:15:30,,Agribusiness person (non-consultant),,,,,,0 - 17%,Yes,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 23:16:40,,Other,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:17:57,,"Grower, Independent crop consultant, Other",Yes,50 - 250,,Yes,,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:19:15,,Grower,No,1000 - 5000,,No,Yes,18 - 33%,No,18 - 33%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:20:22,,Agribusiness person (non-consultant),,,More than 5000,,,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,34 - 66%,No,Blacklands field day - Aug 7th
8/13/2024 23:21:21,,Extension personell,,,,,,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:22:34,,Grower,Yes,50 - 250,,No,No,0 - 17%,No,18 - 33%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,Blacklands field day - Aug 7th
8/13/2024 23:24:01,,Grower,No,50 - 250,,No,No,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/13/2024 23:25:08,,Other,,,,,,,,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:26:29,,Other,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,Blacklands field day - Aug 7th
8/13/2024 23:27:38,,Farm manager/consultant,,,250 - 1000,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,Blacklands field day - Aug 7th
8/22/2024 14:08:40,,Other,,,,,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:10:07,,"Grower, Other",Yes,0 - 50,,No,No,18 - 33%,No,34 - 66%,No,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:11:59,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,34 - 66%,Yes,18 - 33%,No,34 - 66%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:13:16,,Other,,,,,,0 - 17%,Yes,0 - 17%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,Yes,18 - 33%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:14:48,,"Grower, Extension personell",No,50 - 250,,Yes,Yes,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:16:14,,Grower,No,250 - 1000,,No,No,18 - 33%,No,,,,,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:17:58,,Grower,No,50 - 250,,No,Yes,18 - 33%,Yes,18 - 33%,Yes,0 - 17%,Yes,34 - 66%,Yes,0 - 17%,No,18 - 33%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:19:09,,Other,,,,,,18 - 33%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:20:48,,Independent crop consultant,,,More than 5000,,,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,18 - 33%,No,34 - 66%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:22:09,,Agribusiness person (non-consultant),,,,,,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,18 - 33%,Yes,34 - 66%,Yes,34 - 66%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:23:37,,Independent crop consultant,Yes,0 - 50,0 - 50,No,Yes,,Yes,18 - 33%,Yes,18 - 33%,No,34 - 66%,No,18 - 33%,No,18 - 33%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:25:03,,Grower,No,50 - 250,,No,No,0 - 17%,Yes,,No,0 - 17%,No,,No,0 - 17%,No,0 - 17%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:26:28,,Grower,Yes,250 - 1000,,No,No,34 - 66%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,18 - 33%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:28:23,,Grower,No,50 - 250,,Yes,Yes,18 - 33%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:30:14,,Other,,,,,,34 - 66%,Yes,,Yes,34 - 66%,Yes,34 - 66%,Yes,18 - 33%,Yes,67 - 100%,Yes,
8/22/2024 14:31:34,,Other,,,,,,0 - 17%,No,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,0 - 17%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:32:57,,Other,,,,,No,0 - 17%,Yes,18 - 33%,Yes,0 - 17%,No,34 - 66%,Yes,0 - 17%,No,18 - 33%,Yes,CHROME Ag field day - Aug 21st
8/22/2024 14:34:15,,Other,,,,,,18 - 33%,Yes,34 - 66%,Yes,34 - 66%,No,0 - 17%,Yes,0 - 17%,No,18 - 33%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:36:01,,Grower,No,250 - 1000,,No,No,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,No,CHROME Ag field day - Aug 21st
8/22/2024 14:37:15,,Other,,,,,,34 - 66%,Yes,34 - 66%,Yes,0 - 17%,No,67 - 100%,No,0 - 17%,No,,,CHROME Ag field day - Aug 21st
8/22/2024 14:38:49,,Grower,Yes,250 - 1000,,No,No,18 - 33%,No,34 - 66%,No,0 - 17%,No,67 - 100%,Yes,0 - 17%,No,34 - 66%,No,CHROME Ag field day - Aug 21st
,,,,,,,,,,,,,,,,,,,,
,,", ",,,,,,,,,,,,,,,,,,
